weight;zone1;zone2;zone3;zone4;zone5
"2";"32";"37";"38";"43";"47"
"3";"35";"41";"44";"50";"55"
"4";"38";"45";"50";"57";"63"
"5";"40";"49";"56";"64";"71"
"6";"41";"52";"62";"71";"79"
"7";"42";"55";"68";"78";"87"
"8";"43";"58";"74";"85";"95"
"9";"44";"61";"80";"92";"103"
"10";"45";"64";"86";"99";"111"
"11";"46";"66";"92";"104";"118"
"12";"47";"68";"98";"109";"125"
"13";"48";"70";"104";"114";"132"
"14";"49";"72";"110";"119";"139"
"15";"50";"74";"116";"124";"146"
"16";"51";"75";"121";"129";"152"
"17";"52";"76";"126";"134";"160"
"18";"53";"77";"131";"139";"166"
"19";"54";"78";"136";"144";"172"
"20";"55";"79";"141";"149";"178"
"21";"56";"80";"145";"153";"184"
"22";"57";"81";"149";"157";"190"
"23";"58";"82";"153";"161";"196"
"24";"59";"83";"157";"165";"202"
"25";"60";"84";"161";"169";"206"
"26";"61";"85";"165";"173";"211"
"27";"62";"86";"169";"177";"216"
"28";"63";"87";"173";"181";"221"
"29";"64";"88";"177";"185";"226"
"30";"65";"89";"181";"189";"231"
