weight;zone1;zone2;zone3;zone4;zone5
"2";"36";"42";"46";"53";"65"
"3";"40";"47";"55";"67";"83"
"4";"44";"52";"66";"80";"101"
"5";"47";"56";"77";"94";"119"
"6";"51";"60";"86";"107";"136"
"7";"54";"64";"95";"120";"153"
"8";"56";"68";"104";"133";"170"
"9";"58";"72";"113";"146";"187"
"10";"60";"76";"122";"159";"204"
"11";"61";"79";"130";"167";"219"
"12";"62";"82";"138";"177";"234"
"13";"63";"85";"146";"187";"249"
"14";"64";"88";"154";"197";"264"
"15";"65";"91";"162";"207";"279"
"16";"66";"93";"170";"215";"294"
"17";"67";"95";"178";"223";"309"
"18";"68";"97";"186";"231";"324"
"19";"69";"98";"194";"239";"339"
"20";"70";"99";"202";"247";"354"
"21";"71";"100";"209";"255";"367"
"22";"72";"101";"216";"263";"380"
"23";"73";"102";"223";"271";"393"
"24";"74";"103";"230";"279";"406"
"25";"75";"104";"237";"287";"419"
"26";"76";"105";"244";"295";"432"
"27";"77";"106";"251";"303";"445"
"28";"78";"107";"258";"311";"458"
"29";"79";"108";"265";"319";"471"
"30";"80";"109";"272";"327";"484"
