weight;zone1;zone2;zone3;zone4;zone5
"0.5";"55";"60";"73";"89";"96"
"1";"62";"64";"82";"103";"113"
"1.5";"68";"74";"89";"117";"130"
"2";"74";"79";"98";"133";"147"
"2.5";"79";"85";"106";"145";"164"
"3";"85";"98";"113";"162";"182"
"3.5";"91";"108";"121";"178";"199"
"4";"98";"112";"129";"194";"220"
"4.5";"104";"120";"139";"210";"242"
"5";"110";"128";"146";"231";"263"
"6";"117";"138";"161";"256";"288"
"7";"125";"148";"173";"277";"312"
"8";"132";"158";"187";"299";"335"
"9";"140";"168";"200";"320";"359"
"10";"147";"179";"212";"342";"383"
"11";"155";"188";"226";"363";"406"
"12";"162";"198";"239";"385";"430"
"13";"170";"209";"251";"406";"454"
"14";"177";"218";"265";"428";"477"
"15";"185";"228";"277";"449";"501"
"16";"192";"239";"289";"471";"525"
"17";"200";"248";"303";"492";"548"
"18";"208";"258";"316";"514";"572"
"19";"215";"269";"329";"535";"596"
"20";"223";"279";"342";"557";"619"
"21";"230";"288";"353";"578";"643"
"22";"238";"299";"362";"600";"667"
"23";"245";"309";"374";"621";"690"
"24";"253";"319";"384";"643";"714"
"25";"260";"329";"395";"664";"737"
"26";"268";"339";"404";"686";"761"
"27";"275";"349";"416";"707";"785"
"28";"283";"359";"427";"729";"808"
"29";"290";"369";"437";"750";"832"
"30";"298";"380";"447";"772";"856"
